"","Origin","Transplant.site","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se"
"1","Rim","Rim",0.50661622879421,12,0.049586990796233,-0.772137229514334,0.0945420043437775,1.27875345830854,0.118825367690575
"2","Rim","Upper-Mesophotic",0.754045229654659,11,0.0991044772307593,-0.755614160329258,0.0609776903604516,1.50965938998392,0.144023519362755
"3","Upper-Mesophotic","Rim",0.67012315167236,11,0.0945958834541837,-0.913188821290616,0.157241424277243,1.58331197296298,0.202386104687999
"4","Upper-Mesophotic","Upper-Mesophotic",0.45603553734427,7,0.119896965159432,-0.606509728587979,0.0674801854437617,1.06254526593225,0.138035622473509
