"","Fragment.ID","Intercept","umol.L.sec","V4","V5"
"1","702",184.746904985906,0.00034131430584919,NA,"Photo"
"2","702",185.5138188296,-0.000445355731225301,NA,"Resp"
"3","703",177.977250576241,0.000261455167173242,NA,"Photo"
"4","703",178.059107430671,-0.00104531886974017,NA,"Resp"
"5","706",167.751613820971,-0.000180647893772891,NA,"Photo"
"6","706",167.262438014617,-0.00090407487249588,NA,"Resp"
"7","707",169.206577740642,0.000493114973261965,NA,"Photo"
"8","707",169.628956578948,-0.00103197012802286,NA,"Resp"
"9","708",187.722923314788,0.000296569101757788,NA,"Photo"
"10","708",187.877428370139,-0.00107953292945083,NA,"Resp"
"11","709",168.46031140945,0.000142710853088196,NA,"Photo"
"12","709",168.577706422351,-0.0011019230769231,NA,"Resp"
"13","711",189.627597284427,0.000279163449163523,NA,"Photo"
"14","711",189.413431860439,-0.00121394249231949,NA,"Resp"
"15","715",159.464953885291,0.000336586493987087,NA,"Photo"
"16","715",159.713779374983,-0.000850222834454239,NA,"Resp"
"17","716",182.488338483483,0.000249504504504525,NA,"Photo"
"18","716",182.674252076613,-0.00117747983870969,NA,"Resp"
"19","717",185.555603157349,0.000393599407626762,NA,"Photo"
"20","717",186.116036894405,-0.00124449277675792,NA,"Resp"
"21","718",178.175422762488,0.000434661193339485,NA,"Photo"
"22","718",178.585587404585,-0.00124982674042375,NA,"Resp"
"23","719",158.832446902396,0.000135213325540618,NA,"Photo"
"24","719",158.915877591837,-0.000630244897959212,NA,"Resp"
"25","725",186.708918002323,0.000196386030305472,NA,"Photo"
"26","725",187.086365009212,-0.00132858204688394,NA,"Resp"
"27","726",165.810428444669,-0.000188228744939255,NA,"Photo"
"28","726",165.571959109312,-0.000886234817813812,NA,"Resp"
"29","728",170.108716897233,0.000260046113306909,NA,"Photo"
"30","728",170.490740057093,-0.00138441370223978,NA,"Resp"
"31","729",176.515291576325,0.000328704622666736,NA,"Photo"
"32","729",176.905353998893,-0.000989053800485976,NA,"Resp"
"33","730",175.42747280027,0.000261072874493959,NA,"Photo"
"34","730",176.537390357143,-0.00152729094076657,NA,"Resp"
"35","731",168.896016391663,0.000270842379504989,NA,"Photo"
"36","731",168.694603986711,-0.000889700996677754,NA,"Resp"
"37","732",175.019579990517,0.000647605500237131,NA,"Photo"
"38","732",175.697219308367,-0.000698795546558673,NA,"Resp"
"39","733",184.708022641509,0.000255803316180691,NA,"Photo"
"40","733",185.43411754386,-0.000707871028923696,NA,"Resp"
"41","737",169.979735023474,0.000312863849765264,NA,"Photo"
"42","737",170.505657263667,-0.001088553307158,NA,"Resp"
"43","739",175.69766943734,0.00121291560102299,NA,"Photo"
"44","739",177.346253132263,-0.0008666660970609,NA,"Resp"
"45","740",174.63302985193,0.000248232227846269,NA,"Photo"
"46","740",174.924601364699,-0.00103017825832844,NA,"Resp"
"47","741",176.782541351626,7.36780583838633e-05,NA,"Photo"
