Date,Lunar.Day,coral.id,Number.Larvae
20180801,-10,R-1,0
20180801,-10,R-2,0
20180801,-10,R-3,0
20180801,-10,R-4,0
20180801,-10,R-5,0
20180801,-10,R-6,0
20180801,-10,R-7,0
20180801,-10,R-8,0
20180801,-10,R-9,0
20180801,-10,R-10,0
20180801,-10,R-11,0
20180801,-10,R-12,0
20180801,-10,R-13,0
20180801,-10,R-14,0
20180801,-10,R-15,0
20180801,-10,R-16,0
20180801,-10,R-17,0
20180801,-10,R-18,0
20180801,-10,R-19,0
20180801,-10,R-20,0
20180801,-10,D-1,0
20180801,-10,D-2,0
20180801,-10,D-3,0
20180801,-10,D-4,0
20180801,-10,D-5,0
20180801,-10,D-6,0
20180801,-10,D-7,0
20180801,-10,D-8,0
20180801,-10,D-9,0
20180801,-10,D-10,0
20180801,-10,D-11,0
20180801,-10,D-12,0
20180801,-10,D-13,0
20180801,-10,D-14,0
20180801,-10,D-15,0
20180801,-10,D-16,0
20180801,-10,D-17,0
20180801,-10,D-18,0
20180801,-10,D-19,0
20180801,-10,D-20,0
20180802,-9,R-1,0
20180802,-9,R-2,0
20180802,-9,R-3,0
20180802,-9,R-4,0
20180802,-9,R-5,0
20180802,-9,R-6,0
20180802,-9,R-7,0
20180802,-9,R-8,0
20180802,-9,R-9,0
20180802,-9,R-10,0
20180802,-9,R-11,0
20180802,-9,R-12,0
20180802,-9,R-13,0
20180802,-9,R-14,0
20180802,-9,R-15,0
20180802,-9,R-16,0
20180802,-9,R-17,0
20180802,-9,R-18,0
20180802,-9,R-19,0
20180802,-9,R-20,0
20180802,-9,D-1,0
20180802,-9,D-2,0
20180802,-9,D-3,0
20180802,-9,D-4,0
20180802,-9,D-5,0
20180802,-9,D-6,0
20180802,-9,D-7,0
20180802,-9,D-8,0
20180802,-9,D-9,0
20180802,-9,D-10,0
20180802,-9,D-11,0
20180802,-9,D-12,0
20180802,-9,D-13,0
20180802,-9,D-14,0
20180802,-9,D-15,0
20180802,-9,D-16,0
20180802,-9,D-17,0
20180802,-9,D-18,0
20180802,-9,D-19,0
20180802,-9,D-20,0
20180803,-8,R-1,0
20180803,-8,R-2,109
20180803,-8,R-3,5
20180803,-8,R-4,0
20180803,-8,R-5,0
20180803,-8,R-6,61
20180803,-8,R-7,0
20180803,-8,R-8,0
20180803,-8,R-9,0
20180803,-8,R-10,0
20180803,-8,R-11,13
20180803,-8,R-12,0
20180803,-8,R-13,0
20180803,-8,R-14,0
20180803,-8,R-15,0
20180803,-8,R-16,0
20180803,-8,R-17,0
20180803,-8,R-18,0
20180803,-8,R-19,0
20180803,-8,R-20,0
20180803,-8,D-1,0
20180803,-8,D-2,0
20180803,-8,D-3,0
20180803,-8,D-4,0
20180803,-8,D-5,0
20180803,-8,D-6,0
20180803,-8,D-7,0
20180803,-8,D-8,0
20180803,-8,D-9,0
20180803,-8,D-10,0
20180803,-8,D-11,0
20180803,-8,D-12,0
