Date.release,Settlement_check_date,coral.id,Site,Treatment,Type,Plug_num,T0_Num_Spat,T0_Date,T1_Num_Spat,T1_date,T2_Num_Spat,T2_Date,T3_Num_Spat,T3_Date,T4_Num_Spat,T4_Date,,,,,
20180809,20180813,R-20,Rim,Hot,Treatment,71,4,20180813,,,,,,,,,,,,,
20180809,20180813,R-20,Rim,Hot,Treatment,102,5,20180813,,,,,,,,,,,,,
20180809,20180813,R-20,Rim,Hot,Treatment,101,7,20180813,,,,,,,,,,,,,
20180809,20180813,R-20,Rim,Ambient,Treatment,85,1,20180813,,,,,,,,,,,,,
20180809,20180813,R-20,Rim,Ambient,Treatment,84,1,20180813,,,,,,,,,,,,,
20180809,20180813,R-20,Rim,Ambient,Treatment,53,2,20180813,,,,,,,,,,,,,
20180809,20180813,R-20,Rim,Ambient,Treatment,70,3,20180813,,,,,,,,,,,,,
20180809,20180813,"R-3,R-6,R-20",Rim,Ambient,Extra,403,N/A,20180813,,,,,,,,,,,,,
20180809,20180813,D-8,Upper-mesophotic,Ambient,Extra,404,N/A,20180813,,,,,,,,,,,,,
20180809,20180813,D-8,Upper-mesophotic,Ambient,Extra,388,N/A,20180813,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Hot,Treatment,166,3,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Hot,Treatment,72,1,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Hot,Treatment,125,3,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Ambient,Treatment,368,1,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Ambient,Treatment,44,1,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Ambient,Treatment,385,1,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Ambient,Treatment,215,1,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Ambient,Extra,131,N/A,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Ambient,Extra,36,N/A,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Ambient,Extra,133,N/A,20180814,,,,,,,,,,,,,
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,Ambient,Extra,37,N/A,20180814,,,,,,,,,,,,,
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,Hot,Treatment,353,1,20180815,,,,,,,,,,,,,
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,Ambient,Extra,19,N/A,20180815,,,,,,,,,,,,,
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,Ambient,Extra,59,N/A,20180815,,,,,,,,,,,,,
