Date.in,Date.out,Colony,Site,Replicate,Larvae.num.in,Larvae.num.out,Chamber.num,Tank.num,Treatment,NOTES
20180810,20180812,"D2,D1,D3,D17,D18,D7,D8",Upper-mesophotic,6,40,30,E30,9,Hot,
20180810,20180812,"D2,D1,D3,D17,D18,D7,D8",Upper-mesophotic,1,40,38,E31,5,Ambient,
20180810,20180812,"D2,D1,D3,D17,D18,D7,D8",Upper-mesophotic,2,40,38,E32,5,Ambient,
20180810,20180812,"D2,D1,D3,D17,D18,D7,D8",Upper-mesophotic,3,40,30,E33,6,Ambient,
20180810,20180812,"D2,D1,D3,D17,D18,D7,D8",Upper-mesophotic,4,40,18,E34,6,Ambient,
20180810,20180812,"D2,D1,D3,D17,D18,D7,D8",Upper-mesophotic,5,40,40,E35,11,Ambient,
20180810,20180812,"D2,D1,D3,D17,D18,D7,D8",Upper-mesophotic,6,40,35,E36,11,Ambient,
20180810,20180812,"R2,R3,R6,R20",Rim,1,40,37,E37,1,Hot,
20180810,20180812,"R2,R3,R6,R20",Rim,2,40,40,E38,1,Hot,
20180810,20180812,"R2,R3,R6,R20",Rim,3,40,37,E39,9,Hot,
20180810,20180812,"R2,R3,R6,R20",Rim,4,40,30,E40,9,Hot,
20180810,20180812,"R2,R3,R6,R20",Rim,5,40,39,E41,10,Hot,
20180810,20180812,"R2,R3,R6,R20",Rim,6,40,28,E42,10,Hot,
20180810,20180812,"R2,R3,R6,R20",Rim,1,40,0,E43,6,Ambient,possibly spilled
20180810,20180812,"R2,R3,R6,R20",Rim,2,40,35,E44,6,Ambient,
20180810,20180812,"R2,R3,R6,R20",Rim,3,40,33,E45,7,Ambient,
20180810,20180812,"R2,R3,R6,R20",Rim,4,40,25,E46,7,Ambient,
20180810,20180812,"R2,R3,R6,R20",Rim,5,40,37,E47,11,Ambient,
20180810,20180812,"R2,R3,R6,R20",Rim,6,40,30,E48,11,Ambient,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,1,25,22,E49,2,Hot,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,2,25,18,E50,2,Hot,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,3,25,20,E51,3,Hot,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,4,25,23,E52,3,Hot,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,5,25,25,E53,4,Hot,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,6,25,19,E54,4,Hot,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,1,25,19,E55,5,Ambient,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,2,25,17,E56,5,Ambient,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,3,25,21,E57,7,Ambient,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,4,25,19,E58,7,Ambient,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,5,25,24,E59,8,Ambient,
20180811,20180813,"R1,R20,R18,R3,R19,R2,R5",Rim,6,25,23,E60,8,Ambient,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,1,40,37,E61,2,Hot,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,2,40,39,E62,2,Hot,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,3,40,38,E63,4,Hot,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,4,40,27,E64,4,Hot,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,5,40,31,E65,10,Hot,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,6,40,39,E66,10,Hot,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,1,40,29,E67,5,Ambient,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,2,40,30,E68,5,Ambient,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,3,40,25,E69,8,Ambient,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,4,40,29,E70,8,Ambient,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,5,40,25,E71,7,Ambient,
20180811,20180813,"D19,D8,D15,D20,D2,D9,D7,D5,D18,D1,D17,D10",Upper-mesophotic,6,40,36,E72,7,Ambient,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,1,40,,E73,1,Hot,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,2,40,,E74,1,Hot,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,3,40,,E75,3,Hot,
