"","Fragment.ID","Intercept","µmol.L.sec"
"1","D-12_1",194.372488536586,-0.000951951219512259
"2","D-12_2",192.135240263255,-0.00092650723025567
"3","D-12_3",190.815838480748,-0.00037920472978741
"4","D-12_4",190.31627635794,0.000315436350376755
"5","D-12_5",190.966870440252,0.00128566360264469
"6","D-12_6",193.135501229946,0.00159609625668457
"7","D-12_7",195.257863306343,0.00176854251012147
"8","D-12_8",197.987399370387,0.00193361919235776
"9","D-2_1",166.60460588359,-0.00126548714443449
"10","D-2_2",163.776061538462,-0.000806566604127651
"11","D-2_3",162.989880227596,0.000124039829302951
"12","D-2_4",163.275359032883,0.000980749946168777
"x112","D-2_5",165.261197059829,0.00176875213675212
"x1178","D-2_6",168.351357763432,0.00195999562315342
"x1355","D-2_7",171.014211080586,0.0019641330891331
"x1475","D-2_8",174.118966046099,0.00193681610942248
"x1813","D-BLANK_1",188.396053960762,0.000187603465887098
"x1565","D-BLANK_2",188.664297721774,7.16330645161425e-05
"x1146","D-BLANK_3",188.69095425561,3.05145046533853e-06
"x1465","D-BLANK_4",188.640551300409,-0.000110330216247778
"x183","D-BLANK_5",188.435565028189,4.59654686398908e-05
"x170","D-BLANK_6",188.275186768293,-3.67682926829146e-05
"x1337","D-BLANK_7",188.092475170068,-6.59031697785325e-05
"x1683","D-BLANK_8",187.842930107925,-0.000101492445266719
"x11141","R-1_1",199.839776924872,-0.00154288392050585
"x190","R-1_2",196.343494293882,-0.00135802553840294
"x1853","R-1_3",194.406702401302,-0.000652747252747298
"x11027","R-1_4",193.597793273921,-2.52626641651368e-05
"x1228","R-1_5",194.15815494852,0.000944922779922742
"x1137","R-1_6",195.617811872451,0.00132665183537269
"x1115","R-1_7",197.359213475936,0.00186734912146674
"x1921","R-1_8",199.985439965176,0.00212418438416435
"x148","R-11_1",191.78381948601,-0.00107396171317329
"x1769","R-11_2",189.382297218574,-0.00104224671669805
"x141","R-11_3",188.137001435252,-0.000785502338332547
"x1104","R-11_4",187.406075594923,-0.000404521417239587
"x1945","R-11_5",188.23419668116,-0.00020508695652188
"x1257","R-11_6",189.373004782162,0.000347269265051403
"x1129","R-11_7",190.225747239108,0.000950021710811996
"x1763","R-11_8",192.028455826531,0.00122580612244897
"x11779","R-BLANK_1",179.427713476511,-1.36952147668955e-05
"x180","R-BLANK_2",179.366968981677,-0.0001888548273432
"x137","R-BLANK_3",179.138500989651,-0.000170207338254528
"x1892","R-BLANK_4",178.912294199095,-0.000209674208144756
"x1124","R-BLANK_5",178.470988736631,-6.49398395721776e-05
"x1100","R-BLANK_6",178.137009904189,-0.000143148395721988
"x1404","R-BLANK_7",177.805268212303,-0.000238610083256265
"x188","R-BLANK_8",177.403807739796,-0.000335801020408149
