Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1880560,31/7/18 18:07:53,0.000,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.104,_mol/L,26.303,¡C,1025.000,hPa,Humid,36,1,0,21.808,116356,286799.19,60.72,36.00,#N/A
1880565,31/7/18 18:07:55,0.018,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.111,_mol/L,26.303,¡C,1026.000,hPa,Humid,36,1,0,21.808,116311,286741.51,60.72,36.00,#N/A
1880568,31/7/18 18:07:56,0.035,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.176,_mol/L,26.303,¡C,1026.000,hPa,Humid,36,1,0,21.804,116292,286682.03,60.72,36.00,#N/A
1880570,31/7/18 18:07:57,0.051,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.088,_mol/L,26.303,¡C,1025.000,hPa,Humid,36,1,0,21.809,116269,286643.35,60.72,36.00,#N/A
1880576,31/7/18 18:07:58,0.067,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.127,_mol/L,26.303,¡C,1026.000,hPa,Humid,36,1,0,21.807,116245,286614.43,60.72,36.00,#N/A
1880579,31/7/18 18:07:59,0.084,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.127,_mol/L,26.303,¡C,1026.000,hPa,Humid,36,1,0,21.807,116233,286596.51,60.72,36.00,#N/A
1880585,31/7/18 18:08:00,0.101,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.128,_mol/L,26.297,¡C,1026.000,hPa,Humid,36,1,0,21.809,116233,286570.63,60.72,36.00,#N/A
1880592,31/7/18 18:08:01,0.118,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.111,_mol/L,26.303,¡C,1026.000,hPa,Humid,36,1,0,21.808,116217,286557.91,60.72,36.00,#N/A
1880596,31/7/18 18:08:02,0.134,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.205,_mol/L,26.290,¡C,1025.000,hPa,Humid,36,1,0,21.806,116207,286538.10,60.72,36.00,#N/A
1880602,31/7/18 18:08:03,0.151,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.211,_mol/L,26.297,¡C,1026.000,hPa,Humid,36,1,0,21.804,116198,286525.48,60.72,36.00,#N/A
1880608,31/7/18 18:08:04,0.168,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.194,_mol/L,26.297,¡C,1026.000,hPa,Humid,36,1,0,21.805,116182,286521.90,60.72,36.00,#N/A
1880617,31/7/18 18:08:05,0.184,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.195,_mol/L,26.290,¡C,1026.000,hPa,Humid,36,1,0,21.807,116170,286515.31,60.72,36.00,#N/A
1880623,31/7/18 18:08:06,0.201,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.154,_mol/L,26.303,¡C,1025.000,hPa,Humid,36,1,0,21.805,116186,286499.66,60.72,36.00,#N/A
1880626,31/7/18 18:08:07,0.217,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.221,_mol/L,26.297,¡C,1025.000,hPa,Humid,36,1,0,21.803,116173,286485.94,60.72,36.00,#N/A
1880633,31/7/18 18:08:08,0.234,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.188,_mol/L,26.297,¡C,1025.000,hPa,Humid,36,1,0,21.805,116161,286492.41,60.72,36.00,#N/A
1880639,31/7/18 18:08:09,0.251,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.161,_mol/L,26.297,¡C,1026.000,hPa,Humid,36,1,0,21.807,116158,286478.66,60.72,36.00,#N/A
1880649,31/7/18 18:08:10,0.268,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.160,_mol/L,26.303,¡C,1026.000,hPa,Humid,36,1,0,21.805,116158,286470.78,60.72,36.00,#N/A
1880650,31/7/18 18:08:11,0.284,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.171,_mol/L,26.297,¡C,1025.000,hPa,Humid,36,1,0,21.806,116147,286458.94,60.72,36.00,#N/A
1880656,31/7/18 18:08:12,0.301,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.189,_mol/L,26.290,¡C,1025.000,hPa,Humid,36,1,0,21.807,116140,286450.96,60.72,36.00,#N/A
1880662,31/7/18 18:08:13,0.318,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.154,_mol/L,26.303,¡C,1025.000,hPa,Humid,36,1,0,21.805,116129,286446.90,60.72,36.00,#N/A
1880673,31/7/18 18:08:14,0.334,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.161,_mol/L,26.297,¡C,1026.000,hPa,Humid,36,1,0,21.807,116132,286431.69,60.72,36.00,#N/A
1880678,31/7/18 18:08:15,0.351,OXY3 (PSt7-10),27/6/18 9:55:59,default,188.145,_mol/L,26.297,¡C,1026.000,hPa,Humid,36,1,0,21.808,116135,286434.61,60.72,36.00,#N/A
